return_id,order_id,return_date,return_reason
217,2236,2025-03-12,Product not as expected
218,986,2025-03-19,Product not as expected
219,63,2025-12-10,Size issue
220,2133,2025-02-12,Damaged product
221,235,2025-07-15,Changed mind
222,591,2025-03-09,Wrong item
223,1655,2025-03-05,Late delivery
224,1435,2025-02-25,Damaged product
225,1284,2025-03-12,Wrong item
226,420,2025-10-24,Product not as expected
227,2036,2025-06-01,Changed mind
